experiment,condition,trial,r1_named_export,r2_result,r3_test_dir,r4_camelcase,r5_types,r6_size,r7_jsdoc,r8_describe_it,r9_alias,r10_logger,total,timestamp
B3,short,1,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:10:23
B3,short,2,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:11:36
B3,short,3,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:12:34
B3,short,4,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:14:20
B3,short,5,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:15:56
B3,short,6,1,1,1,1,1,1,0,1,1,1,9,2026-04-08 15:17:23
B3,short,7,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:18:48
B3,medium,1,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:20:23
B3,medium,2,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:21:59
B3,medium,3,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:23:12
B3,medium,4,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:24:47
B3,medium,5,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:25:59
B3,medium,6,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:27:17
B3,medium,7,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:28:41
B3,long,1,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:29:55
B3,long,2,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:30:46
B3,long,3,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:32:12
B3,long,4,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:33:17
B3,long,5,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:34:46
B3,long,6,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:35:55
B3,long,7,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 15:37:10
