experiment,condition,trial,r1_named_export,r2_result,r3_test_dir,r4_camelcase,r5_types,r6_size,r7_jsdoc,r8_describe_it,r9_alias,r10_logger,total,timestamp
B2,positive,1,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:34:50
B2,positive,2,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:36:15
B2,positive,3,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:37:56
B2,positive,4,1,1,1,1,1,1,0,1,1,1,9,2026-04-08 14:39:24
B2,positive,5,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:41:21
B2,positive,6,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 14:42:15
B2,positive,7,1,1,1,1,1,0,0,1,1,1,8,2026-04-08 14:43:48
B2,positive,8,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:45:25
B2,positive,9,1,1,1,1,1,0,0,1,1,1,8,2026-04-08 14:46:57
B2,positive,10,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:48:30
B2,negative,1,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:50:06
B2,negative,2,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:51:56
B2,negative,3,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:53:38
B2,negative,4,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 14:55:10
B2,negative,5,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:56:27
B2,negative,6,1,1,1,1,1,1,1,1,1,1,10,2026-04-08 14:57:58
B2,negative,7,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 14:59:55
B2,negative,8,1,1,1,1,0,1,1,1,1,1,9,2026-04-08 15:01:15
B2,negative,9,1,1,1,1,1,0,1,1,1,1,9,2026-04-08 15:03:15
B2,negative,10,1,1,1,1,1,0,0,1,1,1,8,2026-04-08 15:04:48
